ID;Date;Age;Gender;Parents_diplomation;Traditions;Women_protection;Never_lied;Too_much_effort_to_promote_gender_equality;Men_must_provide_income;News_per_week;{rand(1,4)};Femicide;Romanticization;Attention_victim_gender;Attention_victim_age;Resp_1;Sur la base des éléments présentés dans l’article, dans quelle mesure êtes-vous d’accord avec les affirmations suivantes ? [Les circonstances peuvent atténuer la responsabilité de l'auteur.  ];Resp_2;Sur la base des éléments présentés dans l’article, dans quelle mesure êtes-vous d’accord avec les affirmations suivantes ? [Cet évènement résulte d'une perte de contrôle.];Resp_3;Sur la base des éléments présentés dans l’article, dans quelle mesure êtes-vous d’accord avec les affirmations suivantes ? [L’auteur est moralement responsable du décès de la victime.];Resp;Donation_psych;Donation;Condamnation_from_judiciary_system;Number_women_killed_last_year;Number_men_killed_last_year;Resp_others_1;Nous nous intéressons également à la manière dont cette situation est perçue par d’autres personnes.  Selon vous, comment la plupart des Belges seraient-ils d'accord avec les affirmations suivantes ?   [Les circonstances peuvent atténuer la responsabilité de l'auteur.  ];Resp_others_2;Nous nous intéressons également à la manière dont cette situation est perçue par d’autres personnes.  Selon vous, comment la plupart des Belges seraient-ils d'accord avec les affirmations suivantes ?   [Cet évènement résulte d'une perte de contrôle.];Resp_others_3;Nous nous intéressons également à la manière dont cette situation est perçue par d’autres personnes.  Selon vous, comment la plupart des Belges seraient-ils d'accord avec les affirmations suivantes ?   [L’auteur est moralement responsable du décès de la victime..];Resp_others;Gap;Biased_survey?
17;2026-03-24 15:20:57;20-21;M;Doctorat;Neutre;Tout à fait d'accord;Pas d'accord;Pas d'accord;Pas d'accord;30 minutes à 1 heure;2;1;1;homme;42;5;Pas du tout d'accord;4;Neutre;7;Tout à fait d'accord;5,33333333333333;;;Très probable;Entre 30 et 40;Moins de 10;7;Pas du tout d'accord;5;Légèrement pas d'accord;6;Plutôt d'accord;6;-0,66666666666667;Non
18;2026-03-24 15:24:07;18-19;M;Enseignement secondaire supérieur (CESS ou équivalent);D'accord;D'accord;Pas du tout d'accord;D'accord;D'accord;30 minutes à 1 heure;4;0;1;femme;42;4;Plutôt pas d'accord;6;Plutôt pas d'accord;7;Tout à fait d'accord;5,66666666666667;35;65;Ni improbable ni probable;Entre 40 et 50;Entre 10 et 20;3;Légèrement d'accord;2;Plutôt d'accord;4;Neutre;3;2,66666666666667;Non
19;2026-03-24 15:20:57;20-21;W;Enseignement secondaire supérieur (CESS ou équivalent);Pas d'accord;Neutre;Neutre;Pas d'accord;Pas d'accord;30 minutes à 1 heure;4;0;1;femme;42;5;Pas du tout d'accord;7;Pas du tout d'accord;7;Tout à fait d'accord;6,33333333333333;40;60;Ni improbable ni probable;Entre 30 et 40;Moins de 10;4;Neutre;4;Neutre;6;Plutôt d'accord;4,66666666666667;1,66666666666666;Non
20;2026-03-24 15:23:01;18-19;W;Enseignement supérieur de type court (Bachelier de Haute École, Brevet);Pas d'accord;Pas d'accord;Pas du tout d'accord;Tout à fait d'accord;Pas du tout d'accord;Moins d'une demi-heure;2;1;1;homme;42;5;Pas du tout d'accord;7;Pas du tout d'accord;7;Tout à fait d'accord;6,33333333333333;10;90;Très probable;Plus de 70;Plus de 70;7;Pas du tout d'accord;7;Pas du tout d'accord;7;Tout à fait d'accord;7;-0,66666666666667;Non
21;2026-03-24 15:21:16;;W;;Pas d'accord;D'accord;Pas du tout d'accord;Neutre;Pas du tout d'accord;Je ne sais pas;4;0;1;homme;42;5;Pas du tout d'accord;7;Pas du tout d'accord;7;Tout à fait d'accord;6,33333333333333;;100;Plutôt probable;Entre 60 et 70;Moins de 10;3;Légèrement d'accord;5;Légèrement pas d'accord;4;Neutre;4;2,33333333333333;Non
22;2026-03-24 15:22:30;22-23;W;Enseignement supérieur de type court (Bachelier de Haute École, Brevet);D'accord;Neutre;Pas d'accord;Pas du tout d'accord;Pas d'accord;30 minutes à 1 heure;1;1;0;femme;42;1;Légèrement d'accord;6;Plutôt pas d'accord;7;Tout à fait d'accord;4,66666666666667;40;60;Plutôt Improbable;Entre 40 et 50;Entre 10 et 20;2;Plutôt d'accord;4;Neutre;6;Plutôt d'accord;4;0,66666666666667;Non
23;2026-03-24 15:20:22;20-21;W;Enseignement supérieur de type long (Bachelier de transition, Master);D'accord;Pas d'accord;Pas d'accord;Pas d'accord;Pas du tout d'accord;30 minutes à 1 heure;3;0;0;homme;42;1;Légèrement d'accord;4;Neutre;6;Plutôt d'accord;3,66666666666667;;100;Plutôt probable;Plus de 70;Entre 40 et 50;3;Légèrement d'accord;6;Plutôt pas d'accord;6;Plutôt d'accord;5;-1,33333333333333;Non
24;2026-03-24 15:22:44;18-19;W;Enseignement supérieur de type long (Bachelier de transition, Master);Tout à fait d'accord;Pas d'accord;Pas du tout d'accord;Pas du tout d'accord;Pas du tout d'accord;Moins d'une demi-heure;3;0;0;homme;42;4;Plutôt pas d'accord;2;Plutôt d'accord;7;Tout à fait d'accord;4,33333333333333;30;70;Très probable;Entre 60 et 70;Entre 10 et 20;6;Plutôt pas d'accord;3;Légèrement d'accord;6;Plutôt d'accord;5;-0,66666666666667;Non
25;2026-03-24 15:26:11;20-21;W;Enseignement secondaire supérieur (CESS ou équivalent);Neutre;Neutre;Pas du tout d'accord;Pas d'accord;Pas d'accord;30 minutes à 1 heure;4;0;1;femme;42;5;Pas du tout d'accord;6;Plutôt pas d'accord;7;Tout à fait d'accord;6;N.A;;Ni improbable ni probable;Je ne sais pas/je préfère ne pas répondre;Moins de 10;4;Neutre;4;Neutre;4;Neutre;4;2;Non
26;2026-03-24 15:23:24;22-23;W;Enseignement supérieur de type court (Bachelier de Haute École, Brevet);Tout à fait d'accord;D'accord;Pas du tout d'accord;Pas du tout d'accord;Neutre;Moins d'une demi-heure;1;1;0;homme;42;5;Pas du tout d'accord;4;Neutre;7;Tout à fait d'accord;5,33333333333333;20;80;Très improbable;Entre 40 et 50;Moins de 10;3;Légèrement d'accord;2;Plutôt d'accord;5;Légèrement d'accord;3,33333333333333;2,00000000000000;Non
